id,name,sex,age,height,weight,team,noc,year,season,city,sport,event_x,medal,event_y,substance,flagged,result,result_100m_mens_london,result_100m_womens_rio,result_100m_womens_london,result_200m_mens_rio,result_200m_mens_london,result_200m_womens_rio,result_200m_womens_london,result_110h_mens_rio,result_110h_mens_london,result_100h_womens_rio,result_100h_womens_london,result_3000steep_mens_rio,result_3000steep_mens_london,result_3000steep_womens_rio,result_3000steep_womens_london,result_marathon_mens_rio,result_marathon_mens_london,result_marathon_womens_rio,result_marathon_womens_london,result_20km_mens_rio,result_20km_mens_london,result_20km_womens_rio,result_20km_womens_london,result_400m_mens_rio,result_400m_mens_london,result_400m_womens_rio,result_400m_womens_london,result_5000m_mens_rio,result_5000m_mens_london,result_5000m_womens_rio,result_5000m_womens_london,result_800m_mens_rio,result_800m_mens_london,result_800m_womens_rio,result_800m_womens_london,result_discus_mens_rio,result_discus_mens_london,result_discus_womens_rio,result_discus_womens_london
1162,levon aghasyan,M,21.0,193.0,75.0,Armenia,ARM,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,alberto surez,M,27.0,194.0,80.0,Venezuela,VEN,2012,Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,alessandra morn,F,34.0,165.0,50.0,Spain,ESP,2012,Summer,London,Athletics,Athletics Women's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,alessandra morn,F,38.0,165.0,50.0,Spain,ESP,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,evelis torres,F,23.0,173.0,64.0,Colombia,COL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,yulenmis martnez,F,20.0,165.0,66.0,Cuba,CUB,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Javelin Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,feta ahamada,F,25.0,160.0,50.0,Comoros,COM,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316,feta ahamada,F,25.0,160.0,50.0,Comoros,COM,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,kelsie ahbe,F,25.0,170.0,63.0,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,azneem ahmed,M,23.0,169.0,65.0,Maldives,MDV,2012,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,10.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,azneem ahmed,M,23.0,169.0,65.0,Maldives,MDV,2012,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,mohammed ahmed,M,21.0,182.0,56.0,Canada,CAN,2012,Summer,London,Athletics,"Athletics Men's 10,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,mohammed ahmed,M,25.0,182.0,56.0,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:05.94,,,,,,,,,,,
1405,mohammed ahmed,M,25.0,182.0,56.0,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:21.00,,,,,,,,,,,
1405,mohammed ahmed,M,25.0,182.0,56.0,Canada,CAN,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,masbah ahmmed,M,21.0,,,Bangladesh,BAN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,odile ahouanwanou,F,21.0,178.0,71.0,Benin,BEN,2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,,,,,,,,,,,,,,,,14.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,murielle ahour,F,24.0,165.0,58.0,Cote d'Ivoire,CIV,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,murielle ahour,F,24.0,165.0,58.0,Cote d'Ivoire,CIV,2012,Summer,London,Athletics,Athletics Women's 200 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,murielle ahour,F,28.0,165.0,58.0,Cote d'Ivoire,CIV,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,murielle ahour,F,28.0,165.0,58.0,Cote d'Ivoire,CIV,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,20.0,160.0,64.0,Trinidad and Tobago,TTO,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,10.92,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,20.0,160.0,64.0,Trinidad and Tobago,TTO,2012,Summer,London,Athletics,Athletics Women's 100 metres,,,,,,,10.92,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,20.0,160.0,64.0,Trinidad and Tobago,TTO,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,,,,,,10.92,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,,,,,,,10.92,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,,,,,,,,,,,22.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,michelle ahye,F,24.0,160.0,64.0,Trinidad and Tobago,TTO,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,neringa aidietyt,F,29.0,177.0,60.0,Lithuania,LTU,2012,Summer,London,Athletics,Athletics Women's 20 kilometres Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,neringa aidietyt,F,33.0,177.0,60.0,Lithuania,LTU,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
